"school_name","grade","subject","n_tested","school_mean","nys_mean","sd","z_score"
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE","4","Math",42,628,600,10.3950780607035,2.69358246628741
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","3","ELA",83,618,600,8.93549570747314,2.01443776476171
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","3","Math",83,625,600,9.56336548656681,2.61414248311604
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","4","ELA",100,613,599,9.0234455676591,1.55151376434046
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","4","Math",100,624,600,10.3950780607035,2.30878497110349
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","5","ELA",88,615,599,9.31679134957118,1.71732943238408
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","5","Math",88,633,600,10.5199311573998,3.13690265708513
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","6","ELA",80,611,598,10.1228499667514,1.28422332077415
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","6","Math",81,620,600,10.2858259807726,1.94442332948139
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","7","ELA",63,613,600,9.83761226983842,1.32145887065069
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","7","Math",63,625,601,10.6493744935478,2.2536534905915
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","8","ELA",50,617,600,9.19627210164209,1.84857514132976
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","3","ELA",84,618,600,8.93549570747314,2.01443776476171
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","3","Math",82,625,600,9.56336548656681,2.61414248311604
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","4","ELA",69,615,599,9.0234455676591,1.77315858781767
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","4","Math",70,628,600,10.3950780607035,2.69358246628741
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","5","ELA",72,611,599,9.31679134957118,1.28799707428806
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","5","Math",71,622,600,10.5199311573998,2.09126843805676
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","6","ELA",34,614,598,10.1228499667514,1.58058254864511
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","6","Math",34,623,600,10.2858259807726,2.2360868289036
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","7","ELA",54,618,600,9.83761226983842,1.82971228243941
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","7","Math",54,630,601,10.6493744935478,2.72316463446473
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","8","ELA",80,618,600,9.19627210164209,1.95731485552563
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3","3","ELA",81,618,600,8.93549570747314,2.01443776476171
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3","3","Math",81,630,600,9.56336548656681,3.13697097973925
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3","4","ELA",79,616,599,9.0234455676591,1.88398099955627
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3","4","Math",79,626,600,10.3950780607035,2.50118371869545
